city,vendor_id,brand_name,vendor_name,vertical,latitude,longitude
Lima,206426,La Lucha Sanguchería Criolla,La Lucha Sangucheria Criolla Larco,restaurants,-12.127799987793,-77.0295028686523
Lima,207292,Allyku,Allyku San Juan De Miraflores,restaurants,-12.154299736022898,-76.9830017089844
Lima,207436,Q'churros,Qchurros Jesus Maria,restaurants,-12.0899000167847,-77.052497863769517
Lima,207839,Roky's,Rokys Republica De Venezuela,restaurants,-12.0551996231079,-77.0503997802734
Lima,207869,Bravos del Menú,Bravos Del Menu Cineraria,restaurants,-12.096400260925302,-76.9636001586914
Lima,207931,Repshop,Repshop Express Luren,groceries,-12.1280002593994,-77.005500793457
Lima,208312,Bembos,Bembos Mall Aventura Santa Anita,restaurants,-12.0569000244141,-76.9704971313477
Lima,208911,Wings and Pork,Wings And Pork San Martin,restaurants,-12.126000404357898,-77.0297012329102
Lima,208920,Roll Star Sushi Bar,Roll Star Sushi Bar San Miguel,restaurants,-12.0831003189087,-77.0854034423828
Lima,209155,Del Tigre su Leche,Del Tigre Su Leche Sta Rosa,restaurants,-12.1173000335693,-77.0239028930664
Lima,209707,Pancitos del Sur,Pancitos Del Sur Miraflores,groceries,-12.1248998641968,-77.0227966308594
Lima,209782,Be Smart,Be Smart Plaza San Miguel,cross_vertical,-12.076499938964801,-77.0827026367188
Lima,219646,Tambo,Tambo San German,groceries,-12.0193004608154,-77.0765991210938
Lima,221313,Selectos Ibéricos,Selectos Ibericos Surquillo,groceries,-12.099300384521502,-77.0199966430664
Lima,228615,Inboxforyou,Inboxforyou,cross_vertical,-12.1155004501343,-76.9925003051758
Lima,237805,Kathmandu Restaurant,Kathmandu Restaurant,restaurants,-12.0756998062134,-77.0805969238281
Lima,242066,GourMeat Parrilla & Boutique,Gourmeat Parrilla Boutique Chacarilla,restaurants,-12.1106004714966,-76.9906005859375
Lima,253491,Lunch Express,Lunch Express,restaurants,-12.078200340271,-76.9465026855469
Lima,253897,Puerto Lasagña,Puerto Lasagna,restaurants,-12.0673999786377,-76.9589996337891
Lima,258854,Saltao's,Saltaos,restaurants,-12.096400260925302,-76.9636001586914
Lima,261888,Veda Market,Veda Market,groceries,-12.12380027771,-77.0253982543945
Lima,264250,Somma Projects,Somma Projects Courier,courier_business,-12.1181001663208,-77.0185012817383
Lima,265406,Kings Burguers,Kings Burguers,restaurants,-12.0481996536255,-76.9674987792969
Lima,265522,La Iberica,La Iberica Jockey,groceries,-12.085900306701697,-76.9774017333984
Lima,268263,Haute Restaurante,Haute Restaurante,restaurants,-12.0954999923706,-77.0223007202148
Lima,271864,Jet Market ,Jet Market Philip Cuba,groceries,-12.12619972229,-77.0073013305664
Lima,272393,Licorería,Licoreria Los Olivos,drinks,-11.985799789428702,-77.0693969726562
Lima,274419,Up Burger,Up Burger Santa Anita,restaurants,-12.0569000244141,-76.970703125
Lima,275962,Snacking,Snacking Postres Saludables,groceries,-12.129699707031198,-76.9726028442383
Lima,276437,La Caleta Barra Marina,La Caleta Barra Marina,restaurants,-12.085000038147,-76.9729995727539
Lima,282313,Vega Market,Vega Market Santa Anita,groceries,-12.043700218200701,-76.9795989990234
Lima,284987,Frurizana Poke,Frutizana Poke,restaurants,-12.146900177001898,-76.9839019775391
Lima,287840,Brasa Al Paso,Brasa Al Paso,restaurants,-12.066699981689402,-77.0775985717773
Lima,290752,Bordo Street,Bordo Street,restaurants,-12.060600280761701,-77.0976028442383
Lima,290774,,Scharff Pro Courier,courier_business,-12.1318998336792,-77.0297012329102
Lima,293272,,Percado,restaurants,-12.0784997940063,-77.0495986938477
Lima,206336,Chifa Wantan House,Chifa Wantan House,restaurants,-12.0897998809815,-76.9963989257812
Lima,206360,Roky's,Rokys La Marina 2,restaurants,-12.0789003372192,-77.0794982910156
Lima,206495,La Leña,La Lena Raul Ferrero,restaurants,-12.091600418090803,-76.9524993896484
Lima,206529,El Merlín de Cabo Blanco,El Merlin De Cabo Blanco,restaurants,-12.0880002975464,-77.0470962524414
Lima,206936,Mamma Rosa Restaurante,Restaurante Mamma Rosa,restaurants,-12.090200424194302,-77.032699584960909
Lima,207069,Huawei,Huawei Mall Del Sur,cross_vertical,-12.1554002761841,-76.982101440429716
Lima,207081,Entre Pastas,Entre Pastas Miraflores,restaurants,-12.114399909973102,-77.0282974243164
Lima,207093,Bembos,Bembos Magdalena,restaurants,-12.0938997268677,-77.0598983764648
Lima,207197,Delicass,Delicass Primavera,restaurants,-12.1106996536255,-77.0019989013672
Lima,208041,Caravana,La Caravana La Marina,restaurants,-12.077599525451701,-77.0859985351562
Lima,208204,Full Sanguchon,Full Sanguchon Petit Thouars,restaurants,-12.0677003860474,-77.0358963012695
Lima,208476,Norky's,Norkys Ricardo Tizon Y Bueno,restaurants,-12.0795001983643,-77.0503997802734
Lima,208786,Mediterráneo Parrillas,Mediterraneo Parrillas Raul Ferrero,restaurants,-12.0913000106812,-76.9530029296875
Lima,208787,Mediterráneo Parrillas,Mediterraneo Parrillas Tomas Valle,restaurants,-12.007399559021001,-77.0580978393555
Lima,208806,Shigau Roll,Shigau Roll Sushi,restaurants,-12.1073999404907,-76.9925003051758
Lima,209143,La Juguera Factory,La Juguera Factory,restaurants,-12.0939998626709,-77.0696029663086
Lima,209385,Starbucks,Starbucks San Borja Norte,restaurants,-12.095800399780302,-76.9893035888672
Lima,209731,Starbucks,Starbucks Plaza Norte Ii,restaurants,-12.006799697876,-77.0598983764648
Lima,219586,Tambo,Tambo Bar Tristan,drinks,-12.069899559021001,-76.9421005249023
Lima,221352,The Cookie Shop,The Cookie Shop,restaurants,-12.1076002120972,-76.9638977050781
Lima,223009,Roky's,Rokys Sapotal,restaurants,-12.0453996658325,-76.9535980224609
Lima,230726,Pánguche,Panguche,restaurants,-12.1077995300293,-77.0399017333984
Lima,234818,N&A's Burger,Nas Burger,restaurants,-11.934300422668501,-77.0552978515625
Lima,238170,Florería Pensamiento,Floreria Pensamiento,cross_vertical,-12.116600036621099,-77.0223007202148
Lima,238224,Facking Burger!,Facking Burger,restaurants,-11.993599891662598,-77.0710983276367
Lima,240334,Amaretto Panadería Heladería Pastelería,Amaretto Panaderia Heladeria Pasteleria Chorrillos,restaurants,-12.1751003265381,-77.0080032348633
Lima,253916,Wingers Box,Wingers Box,restaurants,-12.055700302124002,-77.0916976928711
Lima,256448,Maria Grazzia Cupcakes,Maria Grazzia Cupcakes,restaurants,-12.139100074768098,-76.984001159668
Lima,260899,Vape Nation,Vape Nation Miraflores,cross_vertical,-12.1269998550415,-77.0329971313477
Lima,264687,Burger Team,Burger Team,restaurants,-12.1427001953125,-77.0113983154297
Lima,264697,Allpan Hamburguesas,Allpan Hamburguesas,restaurants,-12.176500320434602,-77.011100769043
Lima,265502,La Iberica,La Iberica San Miguel,groceries,-12.076899528503402,-77.0826034545898
Lima,269468,Poke 51,Poke 51 Surquillo,restaurants,-12.1162004470825,-77.0193023681641
Lima,280676,Juicy Lucy,Juicy Lucy Wings Fries Surco,restaurants,-12.1330003738403,-76.9981002807617
Lima,281689,Pizzas Don Rogelio,Pizzas Don Rogelio,restaurants,-11.951700210571298,-77.0688018798828
Lima,283588,Tori,Tori Miraflores,restaurants,-12.121199607849102,-77.033500671386719
Lima,285877,,Clickartacomcourier,courier_business,-12.0897998809815,-77.0330963134766
Lima,286598,Pollería Kevin Express - Lima,Polleria Kevin Express Lima,restaurants,-12.1557998657227,-76.9718017578125
Lima,293746,Cremhaus,Cremhaus,restaurants,-12.1100997924805,-77.0487976074219
Lima,294303,Kawaii Sushi,Kawaii Sushi Lima,restaurants,-12.097100257873501,-77.0356979370117
Lima,295857,Papa Carlos Burger,Papa Carlos Burger,restaurants,-12.1239995956421,-77.0189971923828
Lima,206287,Pardos Chicken,Pardos Chicken Santa Cruz,restaurants,-12.1120004653931,-77.0384979248047
Lima,206338,Heladeria Speciale,Heladeria Speciale Libertad,restaurants,-12.0875997543335,-77.0679016113281
Lima,206408,Segundo Muelle,Segundo Muelle Canaval Moreyra,restaurants,-12.097800254821802,-77.0183029174805
Lima,207127,La Nacional,La Nacional Miraflores,restaurants,-12.109399795532202,-77.0495986938477
Lima,207300,Sanguchón Campesino,Sanguchon Campesino La Molina,restaurants,-12.065500259399402,-76.9423980712891
Lima,207420,Caramba,Caramba San Isidro,cross_vertical,-12.1071996688843,-77.0382995605469
